Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
F2MP13-2-Energy,K0257,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-Voltage_1,K0258,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-Voltage_2,K0259,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-Voltage_3,K0260,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-Voltage_N,K0261,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-Current_1,K0262,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-Current_2,K0263,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-Current_3,K0264,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-Current_AVG,K0265,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-Power_1,K0266,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-Power_2,K0267,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-Power_3,K0268,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-Power_Factor_1,K0269,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-Power_Factor_2,K0270,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-Power_Factor_3,K0271,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-Power_Factor_Total,K0272,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-KWh,K0273,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-Energy,K0274,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-Voltage_1,K0275,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-Voltage_2,K0276,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-Voltage_3,K0277,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-Voltage_N,K0278,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-Current_1,K0279,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-Current_2,K0280,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-Current_3,K0281,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-Current_AVG,K0282,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-Power_1,K0283,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-Power_2,K0284,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-Power_3,K0285,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-Power_Factor_1,K0286,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-Power_Factor_2,K0287,Float,1,R/W,100,,,,,,,,,,,
